num sub?,,grade,Category,question,answer
NO,,3,Time & Measurement,How Many cups in a pint?,2
NO,,3,Time & Measurement,How Many cups in a Quart?,4
NO,,3,Time & Measurement,How Many cups in a Gallon?,16
NO,,3,Time & Measurement,How Many pints in a Quart?,2
NO,,3,Time & Measurement,How Many pints in a Gallon?,8
NO,,3,Time & Measurement,How Many Quarts in a gallon?,4
NO,,3,Time & Measurement,How Many Inches in a foot?,12
NO,,3,Time & Measurement,How Many Inches in a yard?,36
NO,,3,Time & Measurement,How Many Feet in a yard?,3
NO,,3,Time & Measurement,How Many millimeters in a cetimeter?,10
NO,,3,Time & Measurement,How Many centemerters in a meter?,100
NO,,3,Time & Measurement,How Many feet in a mile?,5280
NO,,3,Time & Measurement,How many seconds in a minute?,60
NO,,3,Time & Measurement,How many minutes in an hour?,60
NO,,3,Time & Measurement,How many days in a week?,7
NO,,3,Time & Measurement,How many hours in a day?,24
